2017-10-14T22:50:07.230+0800 I CONTROL  [initandlisten] MongoDB starting : pid=15087 port=27017 dbpath=/Users/hds/Documents/blog_demo/db/ 64-bit host=hdsdeMacBook-Pro.local
2017-10-14T22:50:07.231+0800 I CONTROL  [initandlisten] db version v3.4.9
2017-10-14T22:50:07.231+0800 I CONTROL  [initandlisten] git version: 876ebee8c7dd0e2d992f36a848ff4dc50ee6603e
2017-10-14T22:50:07.231+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 0.9.8zh 14 Jan 2016
2017-10-14T22:50:07.231+0800 I CONTROL  [initandlisten] allocator: system
2017-10-14T22:50:07.231+0800 I CONTROL  [initandlisten] modules: none
2017-10-14T22:50:07.231+0800 I CONTROL  [initandlisten] build environment:
2017-10-14T22:50:07.231+0800 I CONTROL  [initandlisten]     distarch: x86_64
2017-10-14T22:50:07.231+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2017-10-14T22:50:07.231+0800 I CONTROL  [initandlisten] options: { net: { port: 27017 }, storage: { dbPath: "/Users/hds/Documents/blog_demo/db/" }, systemLog: { destination: "file", path: "/Users/hds/Documents/blog_demo/db/dblog/mongo.log" } }
2017-10-14T22:50:07.233+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3584M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2017-10-14T22:50:07.727+0800 I CONTROL  [initandlisten] 
2017-10-14T22:50:07.727+0800 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2017-10-14T22:50:07.727+0800 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2017-10-14T22:50:07.727+0800 I CONTROL  [initandlisten] 
2017-10-14T22:50:07.883+0800 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/Users/hds/Documents/blog_demo/db/diagnostic.data'
2017-10-14T22:50:08.044+0800 I INDEX    [initandlisten] build index on: admin.system.version properties: { v: 2, key: { version: 1 }, name: "incompatible_with_version_32", ns: "admin.system.version" }
2017-10-14T22:50:08.045+0800 I INDEX    [initandlisten] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2017-10-14T22:50:08.056+0800 I INDEX    [initandlisten] build index done.  scanned 0 total records. 0 secs
2017-10-14T22:50:08.056+0800 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.4
2017-10-14T22:50:08.056+0800 I NETWORK  [thread1] waiting for connections on port 27017
2017-10-14T22:54:27.588+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:55385 #1 (1 connection now open)
2017-10-14T22:54:27.598+0800 I NETWORK  [conn1] received client metadata from 127.0.0.1:55385 conn1: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.7.0" } }
2017-10-14T22:54:27.689+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:55386 #2 (2 connections now open)
2017-10-14T22:54:27.689+0800 I NETWORK  [conn2] received client metadata from 127.0.0.1:55386 conn2: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.7.0" } }
2017-10-14T22:54:48.671+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:55397 #3 (3 connections now open)
2017-10-14T22:54:48.672+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:55399 #4 (4 connections now open)
2017-10-14T22:54:48.674+0800 I -        [conn3] end connection 127.0.0.1:55397 (4 connections now open)
2017-10-14T22:54:48.854+0800 I -        [conn4] end connection 127.0.0.1:55399 (3 connections now open)
2017-10-14T22:56:50.276+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:55445 #5 (3 connections now open)
2017-10-14T22:56:50.277+0800 I NETWORK  [conn5] received client metadata from 127.0.0.1:55445 conn5: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.9" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.7.0" } }
2017-10-14T23:00:04.185+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:55508 #6 (4 connections now open)
2017-10-14T23:00:04.186+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:55510 #7 (5 connections now open)
2017-10-14T23:00:04.186+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:55511 #8 (6 connections now open)
2017-10-14T23:00:04.186+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:55512 #9 (7 connections now open)
2017-10-14T23:00:04.188+0800 I -        [conn6] end connection 127.0.0.1:55508 (7 connections now open)
2017-10-14T23:00:04.448+0800 I -        [conn7] end connection 127.0.0.1:55510 (6 connections now open)
2017-10-14T23:00:14.699+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:55515 #10 (6 connections now open)
2017-10-14T23:00:14.700+0800 I NETWORK  [conn10] received client metadata from 127.0.0.1:55515 conn10: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.7.0" } }
2017-10-14T23:00:14.734+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:55516 #11 (7 connections now open)
2017-10-14T23:00:14.734+0800 I NETWORK  [conn11] received client metadata from 127.0.0.1:55516 conn11: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.7.0" } }
2017-10-14T23:01:17.573+0800 I -        [conn8] end connection 127.0.0.1:55511 (7 connections now open)
2017-10-14T23:01:17.573+0800 I -        [conn9] end connection 127.0.0.1:55512 (7 connections now open)
2017-10-14T23:02:41.784+0800 I -        [conn1] end connection 127.0.0.1:55385 (5 connections now open)
2017-10-14T23:02:41.790+0800 I -        [conn2] end connection 127.0.0.1:55386 (4 connections now open)
2017-10-14T23:02:45.227+0800 I -        [conn10] end connection 127.0.0.1:55515 (3 connections now open)
2017-10-14T23:02:45.229+0800 I -        [conn11] end connection 127.0.0.1:55516 (2 connections now open)
2017-10-15T00:44:44.666+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58888 #12 (2 connections now open)
2017-10-15T00:44:44.673+0800 I NETWORK  [conn12] received client metadata from 127.0.0.1:58888 conn12: { driver: { name: "nodejs", version: "2.2.31" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.7.0" }, platform: "Node.js v8.4.0, LE, mongodb-core: 2.1.15" }
2017-10-15T01:37:00.121+0800 I -        [conn12] end connection 127.0.0.1:58888 (2 connections now open)
2017-10-15T01:37:03.043+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:60042 #13 (2 connections now open)
